tipo_celular,module_size,RAD54L2_MM,RAD54L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.136,27.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,349.0,0.082,10.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1656.0,0.092,17.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,8,2.27,0.72 (0.33-1.11),345,97.73,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,1069.0,0.176,59.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.081,14.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.164,70.0,133,5,3.76,0.61 (0.32-0.89),128,96.24,3.38 (3.07-3.68)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.102,28.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.05,16.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.155,51.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.098,36.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.04,7.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,2107.0,0.065,12.0,358,8,2.23,0.72 (0.33-1.11),350,97.77,3.96 (3.77-4.14)
connective tissue cells 21,92.0,0.416,96.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.085,49.0,105,3,2.86,1.22 (0.43-2.02),102,97.14,3.28 (2.94-3.61)
oligodendrocytes 16,71.0,0.159,30.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.275,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,53.0,104,4,3.85,1.05 (0.40-1.71),100,96.15,2.94 (2.66-3.22)
oligodendrocytes 0,2078.0,0.095,14.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.078,9.0,161,8,4.97,0.72 (0.33-1.11),153,95.03,3.44 (3.18-3.70)
oligodendrocytes 3,357.0,0.059,17.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630.0,0.126,22.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
