tipo_celular,module_size,C2orf69_MM,C2orf69_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,9,2.55,0.66 (0.33-0.98),344,97.45,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.118,47.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.272,60.0,455,13,2.86,1.75 (0.97-2.53),442,97.14,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.078,50.0,276,2,0.72,1.32 (0.34-2.30),274,99.28,3.56 (3.34-3.78)
oligodendrocytes 10,735.0,0.047,11.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,123.0,0.246,73.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,59.0,0.403,90.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.131,39.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.119,84.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.176,97.0,154,1,0.65,1.82 (NA-NA),153,99.35,3.26 (2.99-3.52)
