tipo_celular,module_size,GOLM1_MM,GOLM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.142,39.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.123,30.0,353,13,3.68,1.38 (0.82-1.95),340,96.32,4.01 (3.83-4.20)
GABA neurons expressing GLU receptors 22,1069.0,0.154,42.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.111,39.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,145.0,0.239,52.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.093,8.0,78,1,1.28,3.31 (NA-NA),77,98.72,4.38 (3.96-4.80)
endothelial cells 9,559.0,0.123,35.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.157,27.0,455,14,3.08,1.76 (1.01-2.52),441,96.92,4.46 (4.27-4.64)
astrocytes 8,603.0,0.035,6.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.094,42.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.272,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443.0,0.214,86.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.09,35.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,135.0,0.346,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,54.0,104,8,7.69,2.12 (1.33-2.91),96,92.31,2.93 (2.63-3.22)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
