tipo_celular,module_size,ST3GAL5_MM,ST3GAL5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.236,85.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,477,0.141,37.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.046,0.0,136,5,3.68,2.76 (1.12-4.40),131,96.32,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285,0.097,8.0,353,22,6.23,1.67 (1.17-2.18),331,93.77,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,848,0.184,39.0,262,4,1.53,1.14 (0.30-1.98),258,98.47,4.22 (3.98-4.47)
GLU like neurons 17,380,0.108,9.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,102,0.157,25.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA
GABA neurons expressing GABA receptors 13,238,0.084,4.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.111,40.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,358,0.195,69.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.154,26.0,455,18,3.96,1.64 (1.03-2.25),437,96.04,4.50 (4.32-4.68)
astrocytes 8,771,0.089,36.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.107,49.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83)
oligodendrocytes 10,1277,0.067,22.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111,0.222,18.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443,0.125,30.0,9,2,22.22,2.04 (-0.10-4.18),7,77.78,3.68 (2.17-5.18)
oligodendrocytes 16,81,0.23,80.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,448,0.121,70.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,108,0.254,15.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,787,0.129,15.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,187,0.162,48.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,346,0.137,41.0,43,3,6.98,3.90 (2.74-5.05),40,93.02,3.76 (3.21-4.30)
oligodendrocytes 3,187,0.106,52.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131,0.142,22.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
