tipo_celular,module_size,RAPGEF2_MM,RAPGEF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.15,13.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,610,0.281,99.0,98,26,26.53,1.85 (1.39-2.32),72,73.47,3.65 (3.33-3.97)
astrocytes 5,1141,0.151,76.0,166,26,15.66,2.72 (2.13-3.31),140,84.34,3.55 (3.28-3.82)
oligodendrocyte progenitor cells 7,448,0.126,38.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714,0.119,14.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,380,0.173,50.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,87,0.45,96.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.17,51.0,93,62,66.67,5.15 (4.61-5.70),31,33.33,5.12 (3.92-6.32)
endothelial cells 9,658,0.399,93.0,120,70,58.33,4.60 (4.21-5.00),50,41.67,4.62 (4.08-5.15)
oligodendrocytes 20,233,0.25,75.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300,0.262,75.0,306,112,36.6,4.81 (4.41-5.21),194,63.4,5.36 (5.02-5.71)
astrocytes 8,727,0.283,99.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,153,0.408,50.0,27,6,22.22,3.82 (2.26-5.37),21,77.78,5.35 (4.16-6.54)
oligodendrocytes 10,2107,0.242,80.0,358,48,13.41,2.19 (1.79-2.58),310,86.59,4.22 (4.03-4.41)
connective tissue cells 21,86,0.281,53.0,7,1,14.29,4.73 (NA-NA),6,85.71,2.95 (2.29-3.61)
astrocytes 15,338,0.115,22.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,149,0.139,19.0,70,9,12.86,5.32 (4.75-5.90),61,87.14,5.71 (5.16-6.27)
da neurons 6,398,0.163,55.0,138,68,49.28,4.42 (3.95-4.90),70,50.72,5.29 (4.73-5.85)
astrocytes microglia 23,253,0.212,26.0,47,3,6.38,2.23 (0.56-3.90),44,93.62,2.89 (2.56-3.23)
astrocytes 4,752,0.173,79.0,96,12,12.5,3.18 (2.55-3.80),84,87.5,3.31 (2.94-3.68)
oligodendrocytes 0,1186,0.18,93.0,300,16,5.33,3.71 (3.28-4.15),284,94.67,3.80 (3.58-4.01)
microglia 1,958,0.177,96.0,290,22,7.59,2.58 (2.11-3.04),268,92.41,3.94 (3.70-4.18)
oligodendrocytes 3,1003,0.16,88.0,111,2,1.8,2.71 (NA-NA),109,98.2,3.31 (2.96-3.65)
oligodendrocytes 2,804,0.178,76.0,84,8,9.52,1.55 (0.81-2.28),76,90.48,2.84 (2.49-3.19)
