tipo_celular,module_size,PARN_MM,PARN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.189,61.0,47,7,14.89,5.72 (NA-NA),40,85.11,2.50 (2.03-2.97)
T cells 18,610.0,0.164,60.0,98,40,40.82,2.07 (1.70-2.44),58,59.18,3.88 (3.53-4.23)
astrocytes 5,1141.0,0.114,26.0,166,58,34.94,2.92 (2.53-3.30),108,65.06,3.71 (3.39-4.02)
oligodendrocyte progenitor cells 7,4285.0,0.167,91.0,353,90,25.5,3.00 (2.64-3.35),263,74.5,4.30 (4.11-4.49)
GABA neurons expressing GLU receptors 22,823.0,0.238,83.0,23,4,17.39,2.35 (1.04-3.67),19,82.61,2.40 (1.56-3.25)
GLU like neurons 17,1247.0,0.029,0.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25)
da like neurons 11,215.0,0.4,94.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.128,50.0,297,9,3.03,4.80 (3.95-5.65),288,96.97,3.63 (3.42-3.84)
oligodendrocytes 20,358.0,0.022,4.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77)
GABA like neurons 14,2090.0,0.174,63.0,74,12,16.22,2.02 (1.77-2.27),62,83.78,3.09 (2.67-3.51)
astrocytes 8,1266.0,0.074,42.0,66,27,40.91,2.09 (1.65-2.53),39,59.09,4.25 (3.80-4.69)
oligodendrocyte progenitor cells 12,708.0,0.112,50.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107.0,0.129,43.0,358,106,29.61,3.08 (2.74-3.42),252,70.39,4.33 (4.13-4.54)
connective tissue cells 21,95.0,0.219,18.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA)
astrocytes 15,367.0,0.146,50.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,91.0,0.161,13.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.294,40.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,752.0,0.137,28.0,96,24,25.0,3.32 (2.87-3.77),72,75.0,3.28 (2.84-3.71)
oligodendrocytes 0,1186.0,0.134,32.0,300,19,6.33,4.62 (4.02-5.22),281,93.67,3.72 (3.51-3.94)
microglia 1,1615.0,0.111,51.0,161,63,39.13,2.20 (1.91-2.49),98,60.87,4.09 (3.78-4.40)
oligodendrocytes 3,854.0,0.106,68.0,76,5,6.58,2.19 (0.58-3.80),71,93.42,2.83 (2.49-3.16)
oligodendrocytes 2,804.0,0.132,27.0,84,11,13.1,2.06 (1.32-2.80),73,86.9,2.80 (2.43-3.17)
