tipo_celular,module_size,AIMP1_MM,AIMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.112,22.0,140,4,2.86,2.05 (2.00-2.10),136,97.14,4.59 (4.17-5.02)
T cells 18,506.0,0.063,3.0,225,11,4.89,2.36 (1.62-3.10),214,95.11,3.70 (3.44-3.96)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,18,5.1,1.86 (1.29-2.42),335,94.9,4.02 (3.83-4.20)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,145.0,0.097,13.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.072,16.0,275,17,6.18,1.96 (1.44-2.48),258,93.82,4.13 (3.87-4.40)
oligodendrocytes 20,403.0,0.155,62.0,18,3,16.67,1.65 (0.12-3.19),15,83.33,1.92 (1.15-2.70)
GABA like neurons 14,3052.0,0.145,55.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.035,4.0,276,16,5.8,1.84 (1.38-2.30),260,94.2,3.67 (3.45-3.89)
oligodendrocytes 10,735.0,0.099,52.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,112.0,0.111,2.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.12,18.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,228.0,0.161,83.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,42.0,0.269,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.131,83.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,1615.0,0.077,7.0,161,12,7.45,1.39 (0.79-2.00),149,92.55,3.44 (3.17-3.71)
oligodendrocytes 3,743.0,0.056,14.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.152,72.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
