tipo_celular,module_size,RANBP10_MM,RANBP10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.032,0.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,727.0,0.107,22.0,49,1,2.04,4.44 (NA-NA),48,97.96,2.38 (1.99-2.78)
astrocytes 5,1656.0,0.101,27.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,14,3.97,1.85 (1.18-2.51),339,96.03,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,703.0,0.106,11.0,23,2,8.7,3.81 (2.57-5.04),21,91.3,1.92 (1.18-2.66)
GLU like neurons 17,1247.0,0.111,32.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215.0,0.274,75.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.217,86.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.093,61.0,66,7,10.61,2.14 (1.03-3.24),59,89.39,3.38 (2.94-3.82)
oligodendrocyte progenitor cells 12,143.0,0.044,8.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.372,85.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.031,4.0,96,2,2.08,3.40 (1.11-5.69),94,97.92,3.62 (3.16-4.08)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.208,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.142,45.0,104,7,6.73,1.57 (0.75-2.39),97,93.27,2.96 (2.68-3.25)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.087,17.0,161,12,7.45,1.87 (1.09-2.65),149,92.55,3.41 (3.14-3.69)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
