tipo_celular,module_size,UNC13A_MM,UNC13A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,25,7.08,2.03 (1.51-2.55),328,92.92,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.269,97.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.169,72.0,51,5,9.8,3.77 (1.81-5.74),46,90.2,3.61 (3.00-4.22)
da like neurons 11,853.0,0.234,92.0,133,8,6.02,1.28 (0.42-2.14),125,93.98,3.40 (3.09-3.72)
GABA neurons expressing GABA receptors 13,200.0,0.121,23.0,34,4,11.76,3.41 (NA-NA),30,88.24,3.91 (2.99-4.82)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.325,99.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.114,86.0,276,19,6.88,2.86 (2.18-3.54),257,93.12,3.61 (3.38-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.105,32.0,124,8,6.45,3.41 (1.43-5.39),116,93.55,4.22 (3.82-4.62)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
