tipo_celular,module_size,C16orf87_MM,C16orf87_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.119,20.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.207,94.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,107.0,0.342,67.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
