tipo_celular,module_size,THY1_MM,THY1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.353,93.0,251,6,2.39,3.60 (3.11-4.09),245,97.61,4.08 (3.83-4.32)
GABA neurons expressing GLU receptors 22,848.0,0.435,95.0,262,62,23.66,4.65 (4.04-5.26),200,76.34,3.98 (3.73-4.23)
GLU like neurons 17,1316.0,0.322,100.0,101,2,1.98,2.92 (2.78-3.07),99,98.02,3.06 (2.70-3.41)
da like neurons 11,1220.0,0.557,99.0,410,33,8.05,3.37 (2.92-3.81),377,91.95,4.33 (4.13-4.52)
GABA neurons expressing GABA receptors 13,357.0,0.207,68.0,237,15,6.33,4.02 (3.66-4.38),222,93.67,4.44 (4.19-4.69)
endothelial cells 9,338.0,0.454,97.0,191,13,6.81,3.69 (3.23-4.14),178,93.19,3.90 (3.66-4.14)
oligodendrocytes 20,279.0,0.088,11.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09)
GABA like neurons 14,2402.0,0.597,95.0,455,36,7.91,2.60 (2.00-3.21),419,92.09,4.51 (4.32-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.117,88.0,276,26,9.42,2.30 (1.87-2.73),250,90.58,3.72 (3.49-3.95)
oligodendrocytes 10,806.0,0.6,98.0,261,47,18.01,4.99 (4.32-5.66),214,81.99,4.22 (3.97-4.47)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.524,97.0,291,37,12.71,3.79 (3.34-4.25),254,87.29,4.43 (4.18-4.68)
da neurons 6,300.0,0.176,56.0,159,6,3.77,4.86 (4.30-5.41),153,96.23,4.34 (4.02-4.66)
astrocytes microglia 23,103.0,0.37,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,116.0,0.271,78.0,169,9,5.33,5.08 (2.11-8.06),160,94.67,4.25 (3.96-4.54)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.377,97.0,345,55,15.94,3.86 (3.41-4.30),290,84.06,4.36 (4.13-4.59)
oligodendrocytes 2,99.0,0.422,83.0,116,7,6.03,4.89 (2.13-7.64),109,93.97,3.92 (3.62-4.22)
