tipo_celular,module_size,C5orf24_MM,C5orf24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.121,19.0,225,1,0.44,0.55 (NA-NA),224,99.56,3.63 (3.38-3.88)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.154,77.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,459.0,0.084,13.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.085,19.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,233.0,0.114,14.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.119,15.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,735.0,0.054,15.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139.0,0.523,100.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,92.0,0.074,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,121.0,0.283,33.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.135,88.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.089,60.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.184,40.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
