tipo_celular,module_size,MROH1_MM,MROH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.163,57.0,71,0,0.0,NA,71,100.0,2.62 (2.21-3.03)
T cells 18,388.0,0.13,38.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,932.0,0.097,33.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,2,0.57,0.61 (-0.07-1.28),351,99.43,3.91 (3.73-4.10)
GABA neurons expressing GLU receptors 22,1069.0,0.145,36.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.303,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.331,99.0,133,0,0.0,NA,133,100.0,3.25 (2.94-3.57)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.296,87.0,306,0,0.0,NA,306,100.0,5.09 (4.83-5.36)
astrocytes 8,727.0,0.071,26.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.065,33.0,276,0,0.0,NA,276,100.0,3.54 (3.32-3.76)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.31,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.065,30.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.247,17.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,721.0,0.138,26.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.086,13.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
