tipo_celular,module_size,CSNK1G3_MM,CSNK1G3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.148,48.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610.0,0.158,55.0,98,22,22.45,2.09 (1.45-2.73),76,77.55,3.46 (3.13-3.79)
astrocytes 5,1656.0,0.156,97.0,136,2,1.47,2.44 (1.50-3.37),134,98.53,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,25,7.08,2.04 (1.47-2.61),328,92.92,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,703.0,0.279,92.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89)
GLU like neurons 17,1316.0,0.168,83.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,71.0,0.35,75.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.161,74.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,233.0,0.262,77.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.131,42.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727.0,0.112,53.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.121,90.0,276,23,8.33,2.36 (1.84-2.87),253,91.67,3.69 (3.46-3.92)
oligodendrocytes 10,2107.0,0.075,15.0,358,29,8.1,1.92 (1.41-2.43),329,91.9,4.10 (3.91-4.29)
connective tissue cells 21,82.0,0.184,8.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,443.0,0.302,99.0,9,1,11.11,3.13 (NA-NA),8,88.89,3.29 (1.80-4.77)
oligodendrocytes 16,71.0,0.221,78.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.291,30.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,787.0,0.16,66.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.132,85.0,238,8,3.36,2.46 (1.77-3.15),230,96.64,3.68 (3.46-3.91)
microglia 1,1615.0,0.11,50.0,161,23,14.29,2.05 (1.42-2.67),138,85.71,3.53 (3.26-3.81)
oligodendrocytes 3,854.0,0.098,60.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05)
oligodendrocytes 2,347.0,0.119,7.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
