tipo_celular,module_size,ANKRD11_MM,ANKRD11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.178,37.0,140,6,4.29,3.58 (2.71-4.45),134,95.71,4.61 (4.32-4.90)
T cells 18,388,0.047,2.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,932,0.141,86.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,448,0.073,6.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192,0.133,53.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247,0.377,100.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215,0.357,90.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,238,0.142,34.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.191,55.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,348,0.152,56.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,1300,0.234,62.0,306,9,2.94,3.70 (2.77-4.62),297,97.06,5.16 (4.89-5.43)
astrocytes 8,1266,0.134,83.0,66,13,19.7,1.90 (1.19-2.60),53,80.3,3.62 (3.18-4.06)
oligodendrocyte progenitor cells 12,143,0.415,40.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.292,88.0,358,15,4.19,1.58 (0.98-2.19),343,95.81,4.00 (3.81-4.19)
connective tissue cells 21,106,0.246,27.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1401,0.15,89.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,78,0.09,2.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.123,47.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,327,0.173,5.0,120,5,4.17,1.42 (0.23-2.60),115,95.83,3.73 (3.44-4.03)
astrocytes 4,251,0.109,10.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186,0.145,49.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,480,0.183,47.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,357,0.227,93.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407,0.144,37.0,122,14,11.48,1.63 (0.99-2.27),108,88.52,3.62 (3.21-4.03)
