tipo_celular,module_size,RGS7_MM,RGS7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.369,94.0,98,1,1.02,0.79 (NA-NA),97,98.98,4.65 (4.24-5.05)
oligodendrocyte progenitor cells 7,436.0,0.139,56.0,219,3,1.37,4.33 (4.33-4.33),216,98.63,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,459.0,0.246,79.0,165,10,6.06,2.20 (1.60-2.81),155,93.94,5.34 (5.01-5.67)
GLU like neurons 17,489.0,0.161,63.0,42,3,7.14,4.33 (4.33-4.33),39,92.86,6.11 (5.54-6.68)
da like neurons 11,101.0,0.443,91.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,80.0,0.095,2.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.225,79.0,33,2,6.06,3.61 (1.91-5.30),31,93.94,2.67 (2.17-3.18)
GABA like neurons 14,1300.0,0.163,28.0,306,27,8.82,3.09 (2.42-3.77),279,91.18,5.38 (5.12-5.64)
astrocytes 8,279.0,0.316,71.0,78,14,17.95,3.14 (2.47-3.81),64,82.05,4.63 (4.17-5.08)
oligodendrocyte progenitor cells 12,411.0,0.445,94.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,1277.0,0.122,60.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.6,98.0,54,9,16.67,4.04 (3.12-4.96),45,83.33,3.61 (3.12-4.10)
oligodendrocytes 16,149.0,0.243,60.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,398.0,0.081,9.0,138,26,18.84,3.79 (2.91-4.66),112,81.16,5.12 (4.74-5.50)
astrocytes microglia 23,122.0,0.393,86.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,251.0,0.227,87.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,479.0,0.106,12.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.134,53.0,6,2,33.33,5.16 (5.16-5.16),4,66.67,6.40 (5.12-7.67)
oligodendrocytes 2,347.0,0.228,64.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
