tipo_celular,module_size,ST3GAL2_MM,ST3GAL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.162,42.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,477.0,0.157,46.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.096,31.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.114,22.0,353,25,7.08,1.90 (1.21-2.59),328,92.92,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,1069.0,0.142,34.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.059,5.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215.0,0.166,41.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.081,14.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.173,63.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.109,72.0,66,7,10.61,0.81 (0.18-1.45),59,89.39,3.56 (3.18-3.95)
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,15,5.43,2.32 (1.30-3.33),261,94.57,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,96.0,0.348,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.143,49.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.341,60.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,1807.0,0.139,40.0,104,17,16.35,2.00 (1.33-2.67),87,83.65,3.05 (2.75-3.34)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.093,22.0,290,2,0.69,3.97 (0.03-7.91),288,99.31,3.81 (3.58-4.04)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
