tipo_celular,module_size,VWA1_MM,VWA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.141,33.0,164,5,3.05,4.60 (3.59-5.61),159,96.95,4.06 (3.72-4.40)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.184,60.0,155,3,1.94,4.44 (4.44-4.44),152,98.06,4.33 (3.96-4.71)
oligodendrocytes 20,938.0,0.165,68.0,169,10,5.92,3.39 (2.80-3.99),159,94.08,3.49 (3.26-3.71)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.093,51.0,235,9,3.83,3.62 (3.15-4.09),226,96.17,3.83 (3.59-4.07)
oligodendrocytes 10,1277.0,0.14,69.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,301.0,0.338,42.0,158,6,3.8,3.65 (2.90-4.40),152,96.2,4.29 (3.90-4.67)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,82.0,0.185,34.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.224,74.0,252,19,7.54,2.02 (1.30-2.74),233,92.46,4.27 (4.02-4.51)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.183,96.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,526.0,0.321,68.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26)
