tipo_celular,module_size,SEC61A2_MM,SEC61A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.121,59.0,136,6,4.41,3.89 (3.63-4.16),130,95.59,3.17 (2.89-3.46)
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,29,8.22,2.33 (1.77-2.89),324,91.78,4.06 (3.87-4.25)
GABA neurons expressing GLU receptors 22,823.0,0.127,19.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.111,33.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,82.0,0.174,30.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.152,46.0,78,12,15.38,3.39 (2.68-4.10),66,84.62,4.60 (4.14-5.06)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.171,42.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.159,67.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.038,5.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96)
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,16,5.8,2.86 (2.25-3.47),260,94.2,3.60 (3.37-3.83)
oligodendrocytes 10,806.0,0.042,5.0,261,18,6.9,3.63 (2.82-4.43),243,93.1,4.44 (4.19-4.69)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.047,12.0,105,16,15.24,2.71 (2.06-3.37),89,84.76,3.31 (2.93-3.69)
oligodendrocytes 16,112.0,0.082,1.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518.0,0.093,31.0,122,34,27.87,2.74 (2.24-3.24),88,72.13,4.67 (4.21-5.13)
astrocytes microglia 23,99.0,0.413,92.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,1807.0,0.179,97.0,104,15,14.42,2.82 (2.03-3.62),89,85.58,2.87 (2.57-3.17)
oligodendrocytes 0,2078.0,0.141,94.0,238,7,2.94,2.96 (1.63-4.28),231,97.06,3.66 (3.43-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.067,23.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.142,50.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
