tipo_celular,module_size,C15orf40_MM,C15orf40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,624.0,0.112,19.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932.0,0.093,26.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.219,66.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.082,4.0,455,2,0.44,0.61 (-0.07-1.28),453,99.56,4.36 (4.18-4.55)
astrocytes 8,1266.0,0.041,7.0,66,1,1.52,0.95 (NA-NA),65,98.48,3.27 (2.85-3.69)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.026,2.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.067,38.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,116.0,0.307,95.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.328,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.175,94.0,104,0,0.0,NA,104,100.0,2.86 (2.58-3.14)
oligodendrocytes 0,2078.0,0.11,42.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.033,1.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23)
oligodendrocytes 2,1630.0,0.138,42.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
