tipo_celular,module_size,ANKRD26_MM,ANKRD26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.174,65.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,610.0,0.238,93.0,98,5,5.1,0.64 (-0.00-1.28),93,94.9,3.27 (2.96-3.57)
astrocytes 5,1141.0,0.137,60.0,166,8,4.82,1.53 (0.71-2.34),158,95.18,3.48 (3.22-3.73)
oligodendrocyte progenitor cells 7,4285.0,0.14,58.0,353,13,3.68,1.52 (0.71-2.33),340,96.32,3.99 (3.81-4.17)
GABA neurons expressing GLU receptors 22,192.0,0.136,54.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247.0,0.155,65.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,82.0,0.334,72.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.13,53.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.18,72.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300.0,0.249,69.0,306,11,3.59,2.15 (1.39-2.90),295,96.41,5.26 (5.00-5.51)
astrocytes 8,1266.0,0.097,65.0,66,11,16.67,1.86 (0.78-2.94),55,83.33,3.48 (3.06-3.90)
oligodendrocyte progenitor cells 12,708.0,0.078,31.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,1277.0,0.077,29.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,82.0,0.239,25.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,443.0,0.197,80.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,91.0,0.211,52.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.163,1.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.171,77.0,96,6,6.25,2.10 (1.49-2.71),90,93.75,3.35 (3.01-3.69)
oligodendrocytes 0,1186.0,0.122,19.0,300,2,0.67,2.54 (NA-NA),298,99.33,3.80 (3.59-4.00)
microglia 1,1615.0,0.115,58.0,161,7,4.35,0.62 (0.10-1.15),154,95.65,3.40 (3.14-3.66)
oligodendrocytes 3,357.0,0.153,82.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,804.0,0.148,47.0,84,4,4.76,3.02 (0.26-5.78),80,95.24,2.67 (2.34-3.01)
