tipo_celular,module_size,FRRS1L_MM,FRRS1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,117.0,0.143,44.0,28,3,10.71,2.66 (2.19-3.13),25,89.29,5.67 (5.18-6.16)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,1,0.28,0.21 (NA-NA),352,99.72,3.90 (3.72-4.09)
GABA neurons expressing GLU receptors 22,1069.0,0.174,56.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.185,48.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,145.0,0.115,21.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.205,82.0,34,2,5.88,5.29 (1.59-8.99),32,94.12,3.75 (2.85-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.13,16.0,306,13,4.25,2.52 (1.55-3.50),293,95.75,5.27 (5.01-5.52)
astrocytes 8,520.0,0.048,11.0,288,1,0.35,2.92 (NA-NA),287,99.65,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,2,0.72,0.96 (0.79-1.12),274,99.28,3.57 (3.35-3.78)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.373,91.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.078,42.0,105,1,0.95,0.21 (NA-NA),104,99.05,3.24 (2.91-3.58)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.223,89.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,132.0,0.394,81.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.118,6.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
