tipo_celular,module_size,ABHD3_MM,ABHD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.115,17.0,102,6,5.88,2.23 (1.16-3.29),96,94.12,3.58 (3.21-3.96)
T cells 18,477.0,0.358,98.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423.0,0.286,93.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83)
oligodendrocyte progenitor cells 7,666.0,0.528,99.0,127,3,2.36,4.08 (2.90-5.26),124,97.64,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,823.0,0.272,92.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,380.0,0.195,67.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,209.0,0.213,65.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.192,90.0,275,4,1.45,1.60 (0.45-2.76),271,98.55,4.00 (3.74-4.26)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.299,98.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33)
astrocytes 8,577.0,0.3,98.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303.0,0.065,32.0,276,14,5.07,3.84 (2.85-4.83),262,94.93,3.52 (3.30-3.74)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.333,68.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.074,37.0,105,6,5.71,1.52 (0.58-2.47),99,94.29,3.32 (2.98-3.66)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.363,63.0,120,4,3.33,2.27 (0.88-3.65),116,96.67,3.67 (3.37-3.98)
astrocytes 4,514.0,0.417,95.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.283,100.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
