tipo_celular,module_size,C9orf78_MM,C9orf78_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,518.0,0.171,62.0,131,8,6.11,3.30 (2.79-3.81),123,93.89,3.06 (2.76-3.35)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,75.0,0.225,86.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,916.0,0.102,15.0,302,3,0.99,0.97 (-0.53-2.46),299,99.01,4.01 (3.78-4.23)
oligodendrocytes 20,271.0,0.176,52.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.331,71.0,455,33,7.25,1.91 (1.52-2.31),422,92.75,4.61 (4.44-4.79)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.12,50.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,92.0,0.063,0.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.083,26.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.099,9.0,127,15,11.81,2.64 (2.16-3.13),112,88.19,3.14 (2.65-3.64)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.059,7.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,528.0,0.155,21.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
