tipo_celular,module_size,ANKRD6_MM,ANKRD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.224,83.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,727.0,0.145,52.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,499.0,0.122,23.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.113,20.0,353,10,2.83,0.97 (0.40-1.55),343,97.17,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,1069.0,0.218,83.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,77.0,0.334,62.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.1,26.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.186,72.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,262.0,0.151,56.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,1049.0,0.032,3.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,116.0,0.293,55.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1401.0,0.068,33.0,96,2,2.08,1.93 (1.64-2.21),94,97.92,3.66 (3.20-4.11)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.289,38.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,514.0,0.084,1.0,95,5,5.26,2.31 (0.02-4.59),90,94.74,3.45 (3.03-3.87)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,346.0,0.125,34.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
