tipo_celular,module_size,C7orf50_MM,C7orf50_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.071,2.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,628.0,0.109,11.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,599.0,0.339,93.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,380.0,0.162,42.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,109.0,0.168,34.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.164,38.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,271.0,0.147,38.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.147,24.0,455,4,0.88,1.64 (0.53-2.75),451,99.12,4.37 (4.19-4.56)
astrocytes 8,283.0,0.147,55.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.057,22.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.085,41.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,114.0,0.325,76.0,11,0,0.0,NA,11,100.0,1.61 (0.55-2.67)
astrocytes 15,1401.0,0.135,84.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,158.0,0.222,65.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,135.0,0.296,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.142,46.0,104,5,4.81,1.70 (0.83-2.57),99,95.19,2.93 (2.64-3.21)
oligodendrocytes 0,2078.0,0.086,7.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.066,26.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.147,14.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
