tipo_celular,module_size,PPP4R1_MM,PPP4R1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.21,51.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,393.0,0.146,46.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1141.0,0.143,68.0,166,10,6.02,1.90 (1.09-2.70),156,93.98,3.51 (3.25-3.76)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,13,3.68,1.68 (1.11-2.24),340,96.32,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,599.0,0.184,35.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.108,36.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,209.0,0.216,66.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.151,30.0,120,13,10.83,3.18 (2.58-3.77),107,89.17,4.81 (4.48-5.14)
oligodendrocytes 20,298.0,0.408,96.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052.0,0.211,95.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,140.0,0.192,71.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.074,43.0,276,17,6.16,1.90 (1.37-2.44),259,93.84,3.68 (3.45-3.90)
oligodendrocytes 10,2107.0,0.115,36.0,358,17,4.75,1.65 (1.14-2.16),341,95.25,4.01 (3.82-4.20)
connective tissue cells 21,112.0,0.313,82.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,377.0,0.142,43.0,14,2,14.29,1.71 (NA-NA),12,85.71,2.18 (0.80-3.57)
oligodendrocytes 16,78.0,0.198,52.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,103.0,0.261,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.166,77.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,1186.0,0.148,57.0,300,4,1.33,4.51 (3.69-5.34),296,98.67,3.78 (3.57-3.99)
microglia 1,958.0,0.125,71.0,290,9,3.1,2.76 (1.47-4.04),281,96.9,3.85 (3.62-4.08)
oligodendrocytes 3,1003.0,0.101,56.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.152,75.0,200,2,1.0,1.96 (NA-NA),198,99.0,3.63 (3.37-3.90)
