tipo_celular,module_size,MATN2_MM,MATN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.213,69.0,58,4,6.9,4.17 (3.65-4.69),54,93.1,4.17 (3.71-4.64)
oligodendrocyte progenitor cells 7,448.0,0.064,4.0,108,1,0.93,2.97 (NA-NA),107,99.07,3.26 (2.81-3.70)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,197.0,0.137,27.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.331,88.0,5,1,20.0,1.95 (NA-NA),4,80.0,3.58 (0.93-6.24)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.076,43.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,143.0,0.371,22.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.084,33.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.263,35.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1401.0,0.152,90.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,156.0,0.227,71.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.238,14.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,171.0,0.206,66.0,22,1,4.55,5.45 (NA-NA),21,95.45,4.48 (3.51-5.46)
oligodendrocytes 0,1186.0,0.206,100.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.207,96.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.132,25.0,84,4,4.76,1.12 (0.38-1.86),80,95.24,2.79 (2.45-3.13)
