tipo_celular,module_size,ANKRD12_MM,ANKRD12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.269,92.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.171,62.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.141,64.0,166,7,4.22,2.17 (1.40-2.94),159,95.78,3.46 (3.20-3.71)
oligodendrocyte progenitor cells 7,448,0.051,3.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,192,0.09,19.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247,0.146,59.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,209,0.349,85.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,80,0.107,8.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412,0.188,54.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,676,0.428,71.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300,0.138,19.0,306,1,0.33,3.52 (NA-NA),305,99.67,5.10 (4.83-5.36)
astrocytes 8,140,0.212,75.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,254,0.236,36.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,236,0.321,12.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,82,0.256,42.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,268,0.211,77.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74)
oligodendrocytes 16,287,0.346,61.0,105,0,0.0,NA,105,100.0,5.07 (4.63-5.52)
da neurons 6,398,0.128,40.0,138,5,3.62,2.31 (0.99-3.64),133,96.38,4.94 (4.57-5.30)
astrocytes microglia 23,94,0.145,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220,0.101,11.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,261,0.185,50.0,42,1,2.38,1.18 (NA-NA),41,97.62,4.15 (3.46-4.84)
microglia 1,346,0.103,15.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,127,0.222,39.0,45,0,0.0,NA,45,100.0,4.32 (3.47-5.16)
oligodendrocytes 2,407,0.098,4.0,122,12,9.84,1.69 (0.96-2.42),110,90.16,3.56 (3.16-3.97)
