tipo_celular,module_size,ANP32B_MM,ANP32B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.175,60.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41)
T cells 18,624.0,0.154,51.0,142,4,2.82,4.92 (4.14-5.70),138,97.18,3.17 (2.90-3.44)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.094,7.0,127,15,11.81,2.80 (1.59-4.01),112,88.19,3.98 (3.65-4.32)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.14,28.0,302,5,1.66,2.67 (1.19-4.15),297,98.34,4.01 (3.78-4.24)
oligodendrocytes 20,221.0,0.248,68.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.186,73.0,32,14,43.75,1.87 (1.14-2.60),18,56.25,4.44 (3.38-5.50)
oligodendrocytes 10,483.0,0.358,86.0,129,3,2.33,3.92 (3.52-4.33),126,97.67,3.41 (3.01-3.82)
connective tissue cells 21,114.0,0.407,94.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.237,68.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.4,84.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.126,74.0,238,11,4.62,3.85 (2.91-4.79),227,95.38,3.62 (3.40-3.85)
microglia 1,813.0,0.109,42.0,79,2,2.53,6.34 (2.54-10.14),77,97.47,3.01 (2.62-3.39)
oligodendrocytes 3,743.0,0.045,5.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.142,50.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50)
