tipo_celular,module_size,MRPS9_MM,MRPS9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.119,31.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.142,88.0,136,7,5.15,1.63 (1.31-1.94),129,94.85,3.31 (3.03-3.58)
oligodendrocyte progenitor cells 7,4285.0,0.149,71.0,353,33,9.35,1.55 (1.22-1.89),320,90.65,4.21 (4.04-4.38)
GABA neurons expressing GLU receptors 22,823.0,0.121,17.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,380.0,0.176,53.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,120.0,0.196,29.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,80.0,0.2,75.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.074,9.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,233.0,0.262,76.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.161,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.035,4.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303.0,0.073,42.0,276,22,7.97,1.65 (1.36-1.94),254,92.03,3.76 (3.54-3.98)
oligodendrocytes 10,1277.0,0.043,8.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,102.0,0.268,42.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,338.0,0.271,97.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,155.0,0.174,23.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,409.0,0.122,50.0,235,14,5.96,2.11 (1.76-2.47),221,94.04,4.15 (3.89-4.40)
astrocytes microglia 23,78.0,0.379,77.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.163,82.0,104,21,20.19,1.54 (1.19-1.89),83,79.81,3.23 (2.93-3.53)
oligodendrocytes 0,2078.0,0.123,68.0,238,2,0.84,1.66 (-1.19-4.52),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.08,33.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.138,50.0,200,5,2.5,2.14 (1.50-2.77),195,97.5,3.67 (3.40-3.94)
