tipo_celular,module_size,BTF3L4_MM,BTF3L4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.081,5.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.086,10.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,823.0,0.104,10.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.137,53.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220.0,0.061,2.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,77.0,0.222,79.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,916.0,0.056,2.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,330.0,0.164,47.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052.0,0.128,40.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.028,3.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,3303.0,0.054,19.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,483.0,0.058,15.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,139.0,0.368,86.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1768.0,0.019,1.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,71.0,0.121,16.0,1,0,0.0,NA,1,100.0,3.52 (NA-NA)
da neurons 6,729.0,0.066,5.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,53.0,0.406,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.109,5.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.111,43.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.083,10.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.047,6.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68)
oligodendrocytes 2,1630.0,0.119,13.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
