tipo_celular,module_size,ST3GAL4_MM,ST3GAL4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,221.0,0.159,35.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.173,81.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.357,76.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.203,47.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,46.0,0.254,14.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.106,7.0,300,1,0.33,2.46 (NA-NA),299,99.67,3.80 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.133,68.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.206,64.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
