tipo_celular,module_size,UGGT2_MM,UGGT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.247,86.0,97,2,2.06,4.56 (0.57-8.55),95,97.94,3.02 (2.62-3.41)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.194,99.0,166,13,7.83,1.71 (1.14-2.28),153,92.17,3.57 (3.31-3.82)
oligodendrocyte progenitor cells 7,448.0,0.104,22.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714.0,0.197,58.0,17,4,23.53,2.39 (2.20-2.58),13,76.47,2.28 (1.51-3.05)
GLU like neurons 17,1316.0,0.095,24.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,101.0,0.104,19.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.178,82.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,330.0,0.44,99.0,36,5,13.89,1.86 (1.33-2.39),31,86.11,1.93 (1.53-2.33)
GABA like neurons 14,1300.0,0.244,67.0,306,4,1.31,1.99 (0.73-3.25),302,98.69,5.15 (4.89-5.41)
astrocytes 8,218.0,0.256,91.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,153.0,0.42,54.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,1277.0,0.221,95.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,106.0,0.168,7.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768.0,0.156,93.0,105,18,17.14,1.78 (1.34-2.22),87,82.86,3.54 (3.18-3.90)
oligodendrocytes 16,88.0,0.198,53.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,190.0,0.38,97.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,752.0,0.18,88.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,309.0,0.151,69.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,813.0,0.213,95.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52)
oligodendrocytes 3,1003.0,0.128,76.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804.0,0.208,93.0,84,8,9.52,1.76 (0.95-2.58),76,90.48,2.81 (2.46-3.17)
