tipo_celular,module_size,SYNE2_MM,SYNE2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.158,39.0,225,23,10.22,2.60 (1.99-3.22),202,89.78,3.72 (3.46-3.98)
astrocytes 5,1141.0,0.11,22.0,166,11,6.63,1.57 (1.05-2.09),155,93.37,3.55 (3.30-3.80)
oligodendrocyte progenitor cells 7,4285.0,0.155,79.0,353,32,9.07,1.97 (1.53-2.42),321,90.93,4.14 (3.95-4.32)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.21,53.0,120,17,14.17,4.97 (4.06-5.87),103,85.83,4.55 (4.21-4.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.011,0.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.074,27.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303.0,0.097,72.0,276,28,10.14,2.29 (1.88-2.70),248,89.86,3.73 (3.50-3.96)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.205,10.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,367.0,0.299,99.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.139,38.0,104,15,14.42,2.16 (1.49-2.82),89,85.58,2.99 (2.69-3.30)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
