tipo_celular,module_size,YWHAE_MM,YWHAE_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.157,17.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282,0.155,46.0,241,6,2.49,4.18 (2.13-6.22),235,97.51,4.05 (3.80-4.31)
astrocytes 5,228,0.115,19.0,266,69,25.94,3.23 (2.88-3.59),197,74.06,4.44 (4.21-4.68)
oligodendrocyte progenitor cells 7,296,0.197,59.0,251,7,2.79,3.85 (3.75-3.95),244,97.21,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.349,85.0,262,41,15.65,3.96 (3.38-4.53),221,84.35,4.20 (3.92-4.47)
GLU like neurons 17,1316,0.093,22.0,101,5,4.95,3.08 (1.90-4.26),96,95.05,3.05 (2.69-3.41)
da like neurons 11,1220,0.174,48.0,410,42,10.24,3.89 (3.23-4.55),368,89.76,4.29 (4.09-4.48)
GABA neurons expressing GABA receptors 13,265,0.152,46.0,78,12,15.38,3.90 (3.06-4.74),66,84.62,4.47 (4.00-4.94)
endothelial cells 9,559,0.185,61.0,155,3,1.94,3.28 (3.00-3.56),152,98.06,4.36 (3.99-4.73)
oligodendrocytes 20,938,0.134,53.0,169,28,16.57,2.97 (2.33-3.61),141,83.43,3.56 (3.33-3.79)
GABA like neurons 14,2402,0.326,71.0,455,52,11.43,3.46 (2.75-4.16),403,88.57,4.46 (4.28-4.65)
astrocytes 8,520,0.122,52.0,288,46,15.97,3.50 (3.00-4.00),242,84.03,4.30 (4.09-4.51)
oligodendrocyte progenitor cells 12,1049,0.067,31.0,235,13,5.53,3.14 (2.48-3.79),222,94.47,3.86 (3.62-4.10)
oligodendrocytes 10,806,0.194,62.0,261,24,9.2,3.06 (2.40-3.72),237,90.8,4.49 (4.24-4.74)
connective tissue cells 21,93,0.17,4.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.094,57.0,105,22,20.95,2.69 (2.15-3.22),83,79.05,3.37 (2.97-3.77)
oligodendrocytes 16,313,0.182,35.0,291,44,15.12,3.71 (3.32-4.10),247,84.88,4.45 (4.20-4.70)
da neurons 6,409,0.206,79.0,235,9,3.83,2.85 (1.93-3.76),226,96.17,4.02 (3.77-4.28)
astrocytes microglia 23,255,0.175,5.0,57,7,12.28,2.66 (2.43-2.89),50,87.72,2.65 (2.25-3.05)
astrocytes 4,157,0.095,3.0,178,36,20.22,2.57 (2.10-3.05),142,79.78,4.58 (4.32-4.85)
oligodendrocytes 0,613,0.176,78.0,127,14,11.02,3.40 (3.08-3.71),113,88.98,3.00 (2.52-3.47)
microglia 1,214,0.128,25.0,227,27,11.89,3.61 (2.97-4.25),200,88.11,4.15 (3.90-4.40)
oligodendrocytes 3,457,0.121,54.0,345,49,14.2,4.05 (3.57-4.53),296,85.8,4.32 (4.08-4.55)
oligodendrocytes 2,528,0.31,86.0,175,25,14.29,3.69 (2.92-4.47),150,85.71,4.49 (4.11-4.87)
