tipo_celular,module_size,C12orf4_MM,C12orf4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.194,38.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.164,89.0,353,10,2.83,1.82 (1.02-2.61),343,97.17,3.97 (3.78-4.15)
GABA neurons expressing GLU receptors 22,823.0,0.193,59.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.051,2.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39)
da like neurons 11,265.0,0.084,7.0,4,1,25.0,2.74 (NA-NA),3,75.0,1.47 (-0.90-3.84)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.068,6.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233.0,0.037,5.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,10,3.62,2.02 (1.38-2.67),266,96.38,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.056,7.0,358,12,3.35,1.57 (0.87-2.27),346,96.65,3.97 (3.78-4.16)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,75.0,0.26,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.321,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.118,58.0,238,5,2.1,2.38 (1.14-3.63),233,97.9,3.67 (3.45-3.89)
microglia 1,813.0,0.11,44.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.091,51.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,1630.0,0.163,88.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
