tipo_celular,module_size,PPP1R7_MM,PPP1R7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.113,9.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.082,7.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.1,10.0,353,11,3.12,0.90 (0.55-1.24),342,96.88,4.01 (3.84-4.19)
GABA neurons expressing GLU receptors 22,599.0,0.092,3.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.086,9.0,410,8,1.95,2.99 (1.33-4.64),402,98.05,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,86.0,0.129,25.0,4,1,25.0,4.07 (NA-NA),3,75.0,2.73 (0.59-4.87)
endothelial cells 9,916.0,0.112,18.0,302,3,0.99,3.80 (3.17-4.43),299,99.01,3.98 (3.75-4.21)
oligodendrocytes 20,938.0,0.143,59.0,169,8,4.73,2.99 (1.33-4.64),161,95.27,3.50 (3.27-3.72)
GABA like neurons 14,2402.0,0.236,52.0,455,15,3.3,1.47 (0.56-2.38),440,96.7,4.44 (4.26-4.62)
astrocytes 8,520.0,0.042,8.0,288,8,2.78,2.99 (1.33-4.64),280,97.22,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.026,1.0,276,5,1.81,1.36 (0.90-1.83),271,98.19,3.59 (3.38-3.81)
oligodendrocytes 10,735.0,0.065,25.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,145.0,0.365,85.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.022,1.0,105,3,2.86,1.22 (0.43-2.02),102,97.14,3.28 (2.94-3.61)
oligodendrocytes 16,122.0,0.23,70.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,729.0,0.1,23.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,78.0,0.297,32.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807.0,0.101,3.0,104,4,3.85,1.05 (0.40-1.71),100,96.15,2.94 (2.66-3.22)
oligodendrocytes 0,2078.0,0.085,6.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.064,22.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.159,83.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
