tipo_celular,module_size,C9orf72_MM,C9orf72_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.351,91.0,102,37,36.27,2.88 (2.41-3.35),65,63.73,3.86 (3.38-4.35)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.285,93.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.151,74.0,353,72,20.4,2.84 (2.39-3.29),281,79.6,4.19 (4.01-4.38)
GABA neurons expressing GLU receptors 22,487.0,0.295,75.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,489.0,0.118,35.0,42,19,45.24,6.24 (5.36-7.11),23,54.76,5.75 (5.05-6.45)
da like neurons 11,94.0,0.242,52.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,65.0,0.158,50.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,412.0,0.148,37.0,141,9,6.38,2.48 (1.58-3.38),132,93.62,3.00 (2.75-3.25)
oligodendrocytes 20,348.0,0.045,18.0,33,4,12.12,3.14 (2.75-3.52),29,87.88,2.67 (2.12-3.23)
GABA like neurons 14,3052.0,0.188,87.0,125,6,4.8,3.54 (3.00-4.08),119,95.2,3.34 (3.01-3.68)
astrocytes 8,577.0,0.187,90.0,83,6,7.23,2.15 (1.34-2.97),77,92.77,3.34 (2.87-3.81)
oligodendrocyte progenitor cells 12,708.0,0.086,36.0,25,8,32.0,4.62 (2.74-6.49),17,68.0,1.99 (1.16-2.83)
oligodendrocytes 10,1277.0,0.079,30.0,27,3,11.11,7.31 (5.40-9.21),24,88.89,5.17 (4.28-6.06)
connective tissue cells 21,139.0,0.345,73.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768.0,0.082,46.0,105,28,26.67,2.78 (2.05-3.51),77,73.33,3.38 (3.01-3.74)
oligodendrocytes 16,91.0,0.177,27.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,448.0,0.091,36.0,43,3,6.98,3.54 (3.18-3.91),40,93.02,3.26 (2.69-3.83)
astrocytes microglia 23,327.0,0.329,50.0,120,47,39.17,2.87 (2.47-3.27),73,60.83,4.25 (3.88-4.62)
astrocytes 4,514.0,0.437,97.0,95,6,6.32,1.95 (0.62-3.28),89,93.68,3.50 (3.07-3.93)
oligodendrocytes 0,613.0,0.125,31.0,127,14,11.02,2.50 (1.92-3.08),113,88.98,3.14 (2.67-3.61)
microglia 1,480.0,0.214,61.0,163,22,13.5,4.06 (3.58-4.54),141,86.5,3.64 (3.34-3.94)
oligodendrocytes 3,681.0,0.085,41.0,87,27,31.03,2.05 (1.62-2.49),60,68.97,2.84 (2.51-3.16)
oligodendrocytes 2,921.0,0.146,65.0,200,19,9.5,3.54 (2.54-4.53),181,90.5,3.63 (3.35-3.91)
