tipo_celular,module_size,ANKRD40_MM,ANKRD40_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.116,32.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,322.0,0.067,22.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.115,13.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,735.0,0.037,6.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,94.0,0.199,45.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,94.0,0.469,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.158,64.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.124,87.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.222,61.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
