tipo_celular,module_size,SLC25A42_MM,SLC25A42_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.133,35.0,241,5,2.07,2.85 (0.83-4.86),236,97.93,4.07 (3.82-4.32),3.20,4.36
astrocytes 5,932.0,0.16,94.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.102,11.0,353,18,5.1,1.55 (0.86-2.24),335,94.9,4.05 (3.88-4.23),30.76,6.84
GABA neurons expressing GLU receptors 22,1069.0,0.279,98.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.168,72.0,133,7,5.26,0.58 (0.34-0.82),126,94.74,3.43 (3.13-3.74),7.07,4.00
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.255,95.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,1266.0,0.127,81.0,66,8,12.12,0.77 (0.37-1.18),58,87.88,3.63 (3.25-4.00),3.81,2.83
oligodendrocyte progenitor cells 12,143.0,0.04,7.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.045,23.0,54,5,9.26,2.42 (1.65-3.19),49,90.74,3.83 (3.37-4.29),3.75,2.94
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,126.0,0.348,66.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.133,29.0,104,7,6.73,1.11 (0.49-1.73),97,93.27,3.00 (2.72-3.28),14.84,4.72
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
