tipo_celular,module_size,SLC38A10_MM,SLC38A10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.166,25.0,21,5,23.81,0.42 (0.32-0.52),16,76.19,2.93 (2.39-3.46),2.81,1.75
T cells 18,624.0,0.142,40.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656.0,0.064,1.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,4285.0,0.106,13.0,353,10,2.83,1.08 (0.42-1.74),343,97.17,4.00 (3.82-4.18),42.34,7.06
GABA neurons expressing GLU receptors 22,1069.0,0.226,86.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,380.0,0.24,89.0,39,1,2.56,2.06 (NA-NA),38,97.44,2.99 (2.43-3.56),2.22,2.58
da like neurons 11,853.0,0.083,13.0,133,5,3.76,0.41 (0.29-0.53),128,96.24,3.39 (3.08-3.69),7.30,4.04
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.042,2.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,676.0,0.056,26.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2090.0,0.115,22.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.058,24.0,66,7,10.61,0.72 (0.26-1.17),59,89.39,3.58 (3.19-3.96),3.84,2.85
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,5,1.81,2.34 (1.85-2.82),271,98.19,3.57 (3.35-3.79),6.44,5.09
oligodendrocytes 10,2107.0,0.054,7.0,358,8,2.23,0.82 (0.11-1.54),350,97.77,3.95 (3.77-4.14),42.54,8.72
connective tissue cells 21,125.0,0.302,54.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.032,4.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,81.0,0.14,24.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,518.0,0.091,29.0,122,11,9.02,1.69 (0.84-2.53),111,90.98,4.30 (3.91-4.68),4.39,3.39
astrocytes microglia 23,96.0,0.278,24.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807.0,0.155,70.0,104,3,2.88,1.35 (-0.57-3.28),101,97.12,2.91 (2.63-3.19),18.14,5.02
oligodendrocytes 0,2078.0,0.098,18.0,238,3,1.26,1.84 (0.07-3.60),235,98.74,3.66 (3.44-3.88),6.19,5.01
microglia 1,813.0,0.121,57.0,79,1,1.27,2.24 (NA-NA),78,98.73,3.11 (2.71-3.52),7.00,7.91
oligodendrocytes 3,854.0,0.042,2.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.158,83.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
