tipo_celular,module_size,WDR1_MM,WDR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.283,79.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,393.0,0.134,38.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,423.0,0.164,59.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91),3.43,5.04
oligodendrocyte progenitor cells 7,666.0,0.164,49.0,127,14,11.02,3.29 (2.05-4.53),113,88.98,3.90 (3.56-4.25),4.10,6.05
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,101.0,0.127,15.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,303.0,0.172,48.0,54,8,14.81,4.68 (3.93-5.43),46,85.19,4.85 (4.19-5.51),2.91,5.41
oligodendrocytes 20,330.0,0.136,32.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2402.0,0.205,43.0,455,20,4.4,2.54 (1.63-3.46),435,95.6,4.43 (4.25-4.62),26.09,8.04
astrocytes 8,577.0,0.12,69.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303.0,0.093,67.0,276,10,3.62,2.09 (1.36-2.82),266,96.38,3.61 (3.39-3.84),4.66,5.13
oligodendrocytes 10,483.0,0.113,48.0,129,5,3.88,4.83 (4.10-5.56),124,96.12,3.35 (2.95-3.76),7.97,19.64
connective tissue cells 21,152.0,0.288,67.0,21,4,19.05,6.86 (5.93-7.78),17,80.95,4.68 (3.07-6.28),2.34,2.20
astrocytes 15,1401.0,0.052,18.0,96,18,18.75,4.24 (3.47-5.02),78,81.25,3.45 (2.93-3.98),4.63,3.60
oligodendrocytes 16,87.0,0.214,68.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.077,20.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,101.0,0.284,32.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.213,64.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90),3.47,4.68
oligodendrocytes 0,2078.0,0.093,12.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,958.0,0.135,81.0,290,11,3.79,2.21 (1.31-3.12),279,96.21,3.89 (3.66-4.13),4.70,5.01
oligodendrocytes 3,94.0,0.046,7.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.146,60.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
