tipo_celular,module_size,SLC39A6_MM,SLC39A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.179,58.0,164,4,2.44,3.20 (1.95-4.45),160,97.56,4.12 (3.78-4.45),2.73,7.65
GABA neurons expressing GLU receptors 22,703.0,0.111,12.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.15,37.0,410,16,3.9,2.80 (2.33-3.26),394,96.1,4.33 (4.14-4.52),6.94,7.54
GABA neurons expressing GABA receptors 13,265.0,0.107,15.0,78,6,7.69,3.10 (2.16-4.04),72,92.31,4.50 (4.06-4.93),4.46,4.25
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.031,5.0,18,0,0.0,NA,18,100.0,1.88 (1.20-2.56),NA,3.79
GABA like neurons 14,2402.0,0.287,63.0,455,4,0.88,2.62 (1.18-4.06),451,99.12,4.36 (4.18-4.55),9.04,8.83
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.047,14.0,235,5,2.13,3.28 (2.30-4.27),230,97.87,3.84 (3.60-4.08),1.96,7.74
oligodendrocytes 10,735.0,0.118,62.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,94.0,0.157,17.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,518.0,0.13,70.0,122,13,10.66,3.16 (2.15-4.17),109,89.34,4.12 (3.70-4.54),4.10,3.41
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.156,63.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.077,26.0,345,12,3.48,3.20 (2.63-3.77),333,96.52,4.33 (4.11-4.54),5.57,5.70
oligodendrocytes 2,528.0,0.276,80.0,175,4,2.29,1.80 (1.44-2.17),171,97.71,4.47 (4.12-4.82),6.10,4.59
