tipo_celular,module_size,SLC27A6_MM,SLC27A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.127,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.056,1.0,353,6,1.7,1.66 (0.68-2.64),347,98.3,3.94 (3.75-4.12),24.93,7.77
GABA neurons expressing GLU receptors 22,192.0,0.228,83.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,1247.0,0.162,69.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,71.0,0.251,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.077,11.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,358.0,0.103,29.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090.0,0.136,37.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33),5.63,10.57
astrocytes 8,727.0,0.092,40.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.017,1.0,276,8,2.9,2.07 (1.27-2.87),268,97.1,3.59 (3.37-3.81),11.61,4.92
oligodendrocytes 10,236.0,0.028,0.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,112.0,0.233,46.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73),NA,1.93
astrocytes 15,1768.0,0.057,20.0,105,5,4.76,1.59 (0.40-2.79),100,95.24,3.30 (2.96-3.64),7.63,3.80
oligodendrocytes 16,69.0,0.25,70.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,118.0,0.358,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161.0,0.18,50.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,2078.0,0.083,5.0,238,3,1.26,1.58 (0.20-2.95),235,98.74,3.67 (3.45-3.89),9.09,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,32.0,0.171,30.0,81,3,3.7,2.74 (2.06-3.41),78,96.3,4.10 (3.79-4.41),7.52,7.88
oligodendrocytes 2,407.0,0.153,50.0,122,2,1.64,2.21 (-0.28-4.71),120,98.36,3.35 (2.96-3.75),2.13,2.71
