tipo_celular,module_size,SLC1A4_MM,SLC1A4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178.0,0.259,72.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,117.0,0.161,56.0,28,7,25.0,3.90 (2.88-4.93),21,75.0,5.85 (5.32-6.39),2.21,2.48
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.367,95.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,795.0,0.101,30.0,80,8,10.0,4.08 (2.96-5.19),72,90.0,5.91 (5.50-6.32),2.18,3.11
da like neurons 11,1220.0,0.056,2.0,410,17,4.15,3.15 (2.56-3.74),393,95.85,4.30 (4.11-4.49),15.18,7.18
GABA neurons expressing GABA receptors 13,265.0,0.118,26.0,78,8,10.26,3.62 (2.68-4.55),70,89.74,4.47 (4.02-4.92),5.17,4.16
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.183,35.0,455,13,2.86,2.33 (1.11-3.54),442,97.14,4.40 (4.21-4.58),29.20,8.24
astrocytes 8,577.0,0.086,51.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.066,12.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.109,49.0,122,19,15.57,2.56 (1.58-3.53),103,84.43,4.22 (3.81-4.63),3.72,3.44
astrocytes microglia 23,140.0,0.222,5.0,1,1,100.0,NA,0,0.0,NA,1.75,NA
astrocytes 4,251.0,0.114,12.0,34,5,14.71,3.79 (2.24-5.35),29,85.29,5.53 (4.91-6.14),2.53,3.16
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,958.0,0.107,44.0,290,8,2.76,2.10 (1.24-2.97),282,97.24,3.88 (3.64-4.11),4.41,5.02
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
