tipo_celular,module_size,SLC44A1_MM,SLC44A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.602,97.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.542,94.0,68,5,7.35,2.24 (2.00-2.48),63,92.65,4.60 (4.02-5.17),3.58,3.29
astrocytes 5,165,0.25,72.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229,0.279,80.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567,0.684,100.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637,0.561,98.0,91,8,8.79,0.85 (0.08-1.61),83,91.21,5.04 (4.58-5.49),3.75,2.99
da like neurons 11,408,0.671,98.0,25,4,16.0,4.60 (1.04-8.15),21,84.0,4.62 (3.17-6.07),1.81,2.37
GABA neurons expressing GABA receptors 13,288,0.586,100.0,93,2,2.15,2.53 (2.34-2.73),91,97.85,5.22 (4.72-5.72),2.75,3.98
endothelial cells 9,450,0.662,96.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.152,38.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052,0.151,60.0,125,3,2.4,5.77 (5.72-5.82),122,97.6,3.28 (2.96-3.60),1.84,8.78
astrocytes 8,771,0.596,96.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708,0.492,97.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89),1.63,2.66
oligodendrocytes 10,204,0.577,92.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,250,0.587,86.0,117,4,3.42,2.20 (1.60-2.80),113,96.58,5.53 (5.14-5.91),4.63,3.71
astrocytes 15,208,0.389,75.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,287,0.128,8.0,105,3,2.86,2.50 (2.37-2.63),102,97.14,5.19 (4.74-5.64),4.26,3.45
da neurons 6,398,0.602,100.0,138,5,3.62,2.31 (0.99-3.64),133,96.38,4.94 (4.57-5.30),3.37,2.71
astrocytes microglia 23,54,0.198,6.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102,0.207,56.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40),NA,3.16
oligodendrocytes 0,613,0.141,49.0,127,3,2.36,3.49 (2.95-4.04),124,97.64,3.03 (2.60-3.46),5.64,6.29
microglia 1,127,0.468,91.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,681,0.21,97.0,87,13,14.94,1.97 (1.35-2.60),74,85.06,2.70 (2.41-3.00),8.95,3.41
oligodendrocytes 2,921,0.173,92.0,200,4,2.0,2.23 (1.13-3.34),196,98.0,3.66 (3.39-3.93),3.27,3.47
