tipo_celular,module_size,SLC22A17_MM,SLC22A17_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.174,50.0,266,19,7.14,2.71 (2.16-3.26),247,92.86,4.26 (4.04-4.48),4.77,5.00
oligodendrocyte progenitor cells 7,628.0,0.441,99.0,164,3,1.83,3.01 (1.32-4.69),161,98.17,4.11 (3.78-4.44),2.96,7.61
GABA neurons expressing GLU receptors 22,848.0,0.445,95.0,262,2,0.76,0.92 (0.19-1.65),260,99.24,4.19 (3.95-4.44),5.05,4.10
GLU like neurons 17,1316.0,0.211,95.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220.0,0.304,81.0,410,11,2.68,2.61 (1.95-3.28),399,97.32,4.31 (4.12-4.50),7.62,7.51
GABA neurons expressing GABA receptors 13,265.0,0.33,93.0,78,5,6.41,2.82 (1.89-3.75),73,93.59,4.50 (4.07-4.92),4.79,4.23
endothelial cells 9,338.0,0.253,79.0,191,7,3.66,3.38 (2.79-3.98),184,96.34,3.91 (3.68-4.14),2.78,9.40
oligodendrocytes 20,295.0,0.093,15.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,2402.0,0.567,93.0,455,4,0.88,0.80 (0.18-1.42),451,99.12,4.38 (4.20-4.57),37.80,8.58
astrocytes 8,520.0,0.238,78.0,288,7,2.43,2.21 (1.28-3.13),281,97.57,4.24 (4.04-4.43),7.43,4.62
oligodendrocyte progenitor cells 12,103.0,0.473,66.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,806.0,0.301,79.0,261,8,3.07,2.60 (1.85-3.36),253,96.93,4.44 (4.20-4.68),8.13,6.00
connective tissue cells 21,101.0,0.284,39.0,116,5,4.31,1.97 (1.85-2.09),111,95.69,4.78 (4.37-5.20),3.13,3.22
astrocytes 15,458.0,0.045,14.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,313.0,0.332,79.0,291,19,6.53,3.42 (2.69-4.14),272,93.47,4.41 (4.18-4.64),5.35,3.71
da neurons 6,300.0,0.248,77.0,159,1,0.63,3.76 (NA-NA),158,99.37,4.37 (4.06-4.68),1.39,3.74
astrocytes microglia 23,96.0,0.236,6.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,157.0,0.149,25.0,178,10,5.62,1.87 (1.26-2.48),168,94.38,4.33 (4.07-4.59),4.29,4.51
oligodendrocytes 0,546.0,0.181,57.0,252,9,3.57,2.01 (1.03-2.99),243,96.43,4.19 (3.94-4.44),8.94,8.18
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.186,77.0,345,13,3.77,3.59 (2.66-4.52),332,96.23,4.31 (4.10-4.52),5.24,5.71
oligodendrocytes 2,528.0,0.256,75.0,175,3,1.71,1.81 (1.30-2.32),172,98.29,4.45 (4.10-4.80),7.47,4.57
