tipo_celular,module_size,SLC25A46_MM,SLC25A46_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.207,70.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,282,0.171,55.0,241,8,3.32,3.81 (2.96-4.65),233,96.68,4.07 (3.81-4.33),4.60,4.33
astrocytes 5,1656,0.147,92.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285,0.157,82.0,353,19,5.38,1.53 (1.07-1.98),334,94.62,4.07 (3.89-4.25),25.61,7.07
GABA neurons expressing GLU receptors 22,1069,0.147,37.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,229,0.303,97.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.119,24.0,410,17,4.15,3.09 (2.50-3.68),393,95.85,4.32 (4.13-4.51),12.55,7.30
GABA neurons expressing GABA receptors 13,238,0.185,62.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.06,3.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,403,0.164,65.0,18,5,27.78,0.56 (0.36-0.76),13,72.22,2.38 (1.61-3.16),6.82,2.63
GABA like neurons 14,3052,0.192,89.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,520,0.101,42.0,288,16,5.56,3.06 (2.22-3.90),272,94.44,4.26 (4.06-4.46),4.03,4.72
oligodendrocyte progenitor cells 12,708,0.085,37.0,32,9,28.12,1.13 (0.54-1.73),23,71.88,4.25 (3.41-5.09),3.71,2.16
oligodendrocytes 10,806,0.154,49.0,261,18,6.9,3.77 (2.91-4.63),243,93.1,4.43 (4.17-4.68),5.78,6.09
connective tissue cells 21,118,0.274,36.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768,0.184,98.0,105,7,6.67,1.39 (0.87-1.91),98,93.33,3.35 (3.01-3.70),4.14,3.97
oligodendrocytes 16,121,0.17,20.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,553,0.127,51.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64),2.89,3.03
astrocytes microglia 23,135,0.328,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.16,78.0,104,5,4.81,1.22 (0.23-2.22),99,95.19,2.95 (2.67-3.23),12.31,5.05
oligodendrocytes 0,2078,0.113,46.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,1615,0.101,36.0,161,11,6.83,0.89 (0.45-1.33),150,93.17,3.49 (3.23-3.75),13.79,4.82
oligodendrocytes 3,1003,0.079,32.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.109,11.0,200,5,2.5,2.85 (2.25-3.45),195,97.5,3.65 (3.37-3.92),2.31,3.49
