tipo_celular,module_size,SLC2A1_MM,SLC2A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.106,17.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63),2.89,5.43
astrocytes 5,423.0,0.081,2.0,80,7,8.75,5.39 (4.67-6.12),73,91.25,3.17 (2.68-3.66),2.18,5.29
oligodendrocyte progenitor cells 7,666.0,0.088,6.0,127,10,7.87,3.95 (2.43-5.48),117,92.13,3.82 (3.48-4.17),3.21,6.06
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.6,99.0,155,3,1.94,NA,152,98.06,4.34 (3.97-4.70),2.61,4.36
oligodendrocytes 20,322.0,0.083,31.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52),1.43,5.54
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.052,20.0,83,2,2.41,5.85 (3.24-8.46),81,97.59,3.17 (2.73-3.62),1.96,4.53
oligodendrocyte progenitor cells 12,1049.0,0.058,23.0,235,8,3.4,3.17 (1.87-4.48),227,96.6,3.84 (3.60-4.07),13.48,7.41
oligodendrocytes 10,483.0,0.084,33.0,129,3,2.33,3.92 (3.52-4.33),126,97.67,3.41 (3.01-3.82),6.27,19.50
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.169,68.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,69.0,0.22,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,135.0,0.32,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.14,41.0,104,10,9.62,1.55 (0.77-2.32),94,90.38,3.02 (2.73-3.30),12.98,4.59
oligodendrocytes 0,613.0,0.131,38.0,127,1,0.79,3.48 (NA-NA),126,99.21,3.05 (2.63-3.46),3.41,6.30
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.057,15.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528.0,0.186,41.0,175,13,7.43,3.34 (2.24-4.43),162,92.57,4.47 (4.10-4.83),13.10,3.94
