tipo_celular,module_size,WDR73_MM,WDR73_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.08,5.0,98,6,6.12,0.95 (-0.07-1.98),92,93.88,3.28 (2.97-3.58),10.36,3.62
astrocytes 5,1656.0,0.115,49.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.131,44.0,353,14,3.97,1.74 (1.06-2.42),339,96.03,4.01 (3.82-4.19),25.16,7.36
GABA neurons expressing GLU receptors 22,1069.0,0.13,24.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.147,34.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,330.0,0.035,6.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,2090.0,0.182,69.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.096,64.0,66,15,22.73,2.10 (1.33-2.87),51,77.27,3.63 (3.18-4.07),3.82,2.70
oligodendrocyte progenitor cells 12,3303.0,0.027,2.0,276,5,1.81,1.92 (0.60-3.24),271,98.19,3.58 (3.36-3.80),2.53,5.16
oligodendrocytes 10,2107.0,0.032,2.0,358,16,4.47,1.41 (0.93-1.89),342,95.53,4.02 (3.83-4.20),20.93,8.94
connective tissue cells 21,88.0,0.326,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.039,18.0,54,2,3.7,3.08 (-0.42-6.58),52,96.3,3.71 (3.27-4.15),3.66,2.99
oligodendrocytes 16,69.0,0.074,0.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.312,43.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54),NA,2.65
astrocytes 4,787.0,0.141,31.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.101,23.0,238,3,1.26,3.11 (-0.77-6.99),235,98.74,3.64 (3.43-3.86),7.61,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.033,1.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.143,51.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
