tipo_celular,module_size,SLC25A12_MM,SLC25A12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249,0.112,20.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,727,0.122,32.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1141,0.095,10.0,166,5,3.01,0.61 (0.36-0.86),161,96.99,3.50 (3.25-3.74),4.92,4.54
oligodendrocyte progenitor cells 7,436,0.064,10.0,219,2,0.91,2.60 (NA-NA),217,99.09,5.23 (4.94-5.52),1.47,4.64
GABA neurons expressing GLU receptors 22,714,0.18,51.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,1247,0.172,73.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,132,0.419,88.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,357,0.104,17.0,237,5,2.11,3.80 (2.63-4.98),232,97.89,4.43 (4.19-4.66),2.97,4.21
endothelial cells 9,1653,0.115,40.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,676,0.117,36.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300,0.206,50.0,306,8,2.61,1.85 (1.31-2.39),298,97.39,5.22 (4.97-5.48),2.25,6.83
astrocytes 8,218,0.054,27.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,218,0.362,78.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,735,0.044,9.0,277,1,0.36,3.42 (NA-NA),276,99.64,3.90 (3.65-4.14),2.58,8.97
connective tissue cells 21,111,0.24,30.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,338,0.134,38.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,155,0.166,21.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,409,0.088,24.0,235,21,8.94,3.38 (2.67-4.08),214,91.06,4.05 (3.79-4.32),6.71,4.19
astrocytes microglia 23,161,0.204,3.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41),NA,2.66
astrocytes 4,721,0.136,22.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.096,16.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88),8.21,5.00
microglia 1,1615,0.1,35.0,161,13,8.07,0.82 (0.51-1.13),148,91.93,3.54 (3.29-3.79),13.81,4.70
oligodendrocytes 3,854,0.055,9.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,347,0.17,37.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
