tipo_celular,module_size,WDR26_MM,WDR26_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.14,37.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14),1.66,3.42
T cells 18,477.0,0.176,59.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141.0,0.123,37.0,166,24,14.46,2.63 (2.08-3.18),142,85.54,3.55 (3.28-3.83),8.76,3.84
oligodendrocyte progenitor cells 7,4285.0,0.177,97.0,353,36,10.2,2.25 (1.79-2.71),317,89.8,4.14 (3.96-4.32),31.13,5.44
GABA neurons expressing GLU receptors 22,714.0,0.154,34.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,1316.0,0.152,74.0,101,1,0.99,4.05 (NA-NA),100,99.01,3.04 (2.69-3.39),5.33,3.03
da like neurons 11,101.0,0.337,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.173,49.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,228.0,0.236,64.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA),2.65,1.72
GABA like neurons 14,3052.0,0.24,99.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67),6.45,8.65
astrocytes 8,727.0,0.037,3.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,3303.0,0.089,62.0,276,28,10.14,2.65 (2.20-3.10),248,89.86,3.68 (3.44-3.91),15.33,3.96
oligodendrocytes 10,2107.0,0.118,38.0,358,35,9.78,2.26 (1.79-2.73),323,90.22,4.10 (3.91-4.30),33.17,6.90
connective tissue cells 21,125.0,0.166,3.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1768.0,0.081,46.0,105,26,24.76,2.54 (2.04-3.05),79,75.24,3.46 (3.05-3.86),7.60,2.79
oligodendrocytes 16,121.0,0.151,8.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80),2.92,1.68
da neurons 6,448.0,0.087,31.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,110.0,0.241,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.149,45.0,61,6,9.84,4.04 (3.86-4.22),55,90.16,2.84 (2.39-3.29),3.40,6.31
oligodendrocytes 0,2078.0,0.13,81.0,238,4,1.68,2.92 (1.08-4.77),234,98.32,3.65 (3.43-3.87),10.72,4.92
microglia 1,958.0,0.123,67.0,290,5,1.72,3.41 (2.68-4.13),285,98.28,3.82 (3.59-4.06),5.74,4.99
oligodendrocytes 3,681.0,0.106,60.0,87,22,25.29,2.10 (1.60-2.60),65,74.71,2.77 (2.45-3.08),7.24,3.23
oligodendrocytes 2,921.0,0.158,82.0,200,3,1.5,2.88 (1.96-3.80),197,98.5,3.64 (3.37-3.91),7.77,3.40
