tipo_celular,module_size,SLC24A2_MM,SLC24A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.771,100.0,68,8,11.76,1.74 (1.23-2.24),60,88.24,4.85 (4.31-5.39),3.16,3.33
astrocytes 5,165.0,0.728,99.0,51,1,1.96,8.28 (NA-NA),50,98.04,5.27 (4.60-5.93),1.90,2.97
oligodendrocyte progenitor cells 7,229.0,0.197,52.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.17,40.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64),NA,3.63
GLU like neurons 17,637.0,0.129,37.0,91,2,2.2,1.37 (-0.91-3.66),89,97.8,4.63 (4.11-5.15),1.81,3.09
da like neurons 11,408.0,0.549,93.0,25,3,12.0,0.90 (0.75-1.04),22,88.0,5.27 (3.96-6.58),2.03,2.31
GABA neurons expressing GABA receptors 13,266.0,0.315,94.0,118,14,11.86,4.61 (3.74-5.47),104,88.14,4.76 (4.37-5.15),2.30,4.22
endothelial cells 9,450.0,0.767,100.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.246,47.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,1300.0,0.04,2.0,306,47,15.36,3.60 (3.08-4.12),259,84.64,5.51 (5.24-5.78),5.53,6.92
astrocytes 8,771.0,0.854,100.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.434,95.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,204.0,0.612,96.0,92,3,3.26,3.36 (1.73-4.99),89,96.74,5.83 (5.36-6.30),5.17,3.67
connective tissue cells 21,250.0,0.797,98.0,117,5,4.27,3.18 (1.82-4.54),112,95.73,5.51 (5.11-5.91),4.08,3.72
astrocytes 15,458.0,0.628,100.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,313.0,0.097,4.0,291,28,9.62,3.37 (3.08-3.65),263,90.38,4.47 (4.22-4.71),4.16,3.78
da neurons 6,398.0,0.415,94.0,138,12,8.7,2.38 (1.69-3.07),126,91.3,5.10 (4.74-5.47),2.49,2.76
astrocytes microglia 23,54.0,0.655,99.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37),NA,2.84
astrocytes 4,102.0,0.668,99.0,42,2,4.76,5.00 (4.97-5.04),40,95.24,5.73 (4.96-6.50),1.66,3.24
oligodendrocytes 0,479.0,0.157,57.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.248,95.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,348.0,0.38,92.0,114,3,2.63,2.66 (2.39-2.94),111,97.37,5.21 (4.80-5.62),3.50,4.42
