tipo_celular,module_size,SLC39A9_MM,SLC39A9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.105,14.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,610.0,0.059,2.0,98,9,9.18,0.71 (0.34-1.08),89,90.82,3.39 (3.10-3.69),10.04,3.43
astrocytes 5,1656.0,0.104,32.0,136,2,1.47,3.46 (3.18-3.74),134,98.53,3.20 (2.93-3.48),4.30,5.00
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,23,6.52,1.89 (1.30-2.48),330,93.48,4.07 (3.89-4.25),23.37,7.00
GABA neurons expressing GLU receptors 22,703.0,0.191,54.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,685.0,0.111,36.0,135,9,6.67,1.97 (0.86-3.09),126,93.33,3.29 (2.98-3.61),3.23,3.79
da like neurons 11,853.0,0.04,1.0,133,6,4.51,0.54 (0.27-0.81),127,95.49,3.41 (3.10-3.71),7.46,4.01
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.052,2.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,358.0,0.27,87.0,31,1,3.23,3.60 (NA-NA),30,96.77,2.32 (1.88-2.75),1.83,3.90
GABA like neurons 14,3052.0,0.091,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.032,3.0,66,11,16.67,0.97 (0.60-1.34),55,83.33,3.77 (3.40-4.13),3.62,2.82
oligodendrocyte progenitor cells 12,3303.0,0.059,26.0,276,15,5.43,2.04 (1.59-2.48),261,94.57,3.66 (3.43-3.88),6.66,5.02
oligodendrocytes 10,2107.0,0.06,9.0,358,19,5.31,1.56 (0.87-2.26),339,94.69,4.04 (3.85-4.22),24.09,8.65
connective tissue cells 21,125.0,0.393,88.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1401.0,0.043,11.0,96,2,2.08,2.44 (1.57-3.31),94,97.92,3.64 (3.18-4.10),1.46,3.85
oligodendrocytes 16,74.0,0.299,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,70.0,0.323,37.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.138,36.0,104,7,6.73,1.62 (0.60-2.64),97,93.27,2.96 (2.68-3.24),11.40,4.96
oligodendrocytes 0,2078.0,0.126,74.0,238,3,1.26,1.84 (0.07-3.60),235,98.74,3.66 (3.44-3.88),6.19,5.01
microglia 1,1615.0,0.089,20.0,161,12,7.45,1.01 (0.48-1.53),149,92.55,3.50 (3.24-3.76),14.58,4.70
oligodendrocytes 3,854.0,0.056,10.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,1630.0,0.141,48.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53),4.07,3.59
