tipo_celular,module_size,SLC30A9_MM,SLC30A9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.176,32.0,21,11,52.38,1.44 (0.79-2.09),10,47.62,3.35 (2.67-4.03),2.40,1.57
T cells 18,624,0.128,29.0,142,3,2.11,3.29 (2.75-3.82),139,97.89,3.21 (2.93-3.48),2.25,4.34
astrocytes 5,1141,0.12,32.0,166,15,9.04,1.77 (1.21-2.32),151,90.96,3.59 (3.34-3.84),5.43,4.46
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,29,8.22,1.71 (1.30-2.12),324,91.78,4.15 (3.97-4.33),25.20,6.53
GABA neurons expressing GLU receptors 22,848,0.156,26.0,262,12,4.58,2.29 (1.65-2.94),250,95.42,4.29 (4.04-4.54),6.72,3.98
GLU like neurons 17,1316,0.104,32.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,153,0.241,52.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,200,0.118,19.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,1653,0.112,37.0,297,3,1.01,3.35 (2.90-3.79),294,98.99,3.68 (3.47-3.88),7.21,5.50
oligodendrocytes 20,358,0.205,72.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79),2.60,3.87
GABA like neurons 14,3052,0.172,77.0,125,2,1.6,3.13 (2.95-3.30),123,98.4,3.36 (3.03-3.69),3.66,8.69
astrocytes 8,727,0.154,75.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.086,60.0,276,21,7.61,1.90 (1.54-2.26),255,92.39,3.72 (3.50-3.95),8.30,4.85
oligodendrocytes 10,735,0.062,22.0,277,1,0.36,4.26 (NA-NA),276,99.64,3.89 (3.65-4.13),3.84,8.96
connective tissue cells 21,145,0.257,28.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768,0.09,52.0,105,12,11.43,1.66 (1.12-2.20),93,88.57,3.43 (3.08-3.78),5.24,3.82
oligodendrocytes 16,81,0.133,7.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,553,0.114,39.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64),2.89,3.03
astrocytes microglia 23,114,0.218,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.148,42.0,96,4,4.17,2.59 (1.43-3.75),92,95.83,3.33 (2.99-3.67),3.03,4.38
oligodendrocytes 0,1186,0.148,57.0,300,3,1.0,3.09 (2.06-4.12),297,99.0,3.80 (3.59-4.01),6.08,4.14
microglia 1,813,0.11,43.0,79,5,6.33,2.82 (2.11-3.53),74,93.67,3.12 (2.69-3.55),3.69,8.19
oligodendrocytes 3,854,0.093,55.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.143,39.0,84,8,9.52,1.97 (0.98-2.96),76,90.48,2.79 (2.43-3.14),2.67,3.47
