tipo_celular,module_size,SLC9A9_MM,SLC9A9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.651,100.0,32,2,6.25,3.38 (1.14-5.62),30,93.75,3.75 (2.92-4.58),2.23,3.70
T cells 18,349.0,0.148,37.0,68,6,8.82,2.00 (1.48-2.51),62,91.18,4.68 (4.11-5.25),3.46,3.30
astrocytes 5,499.0,0.111,15.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,229.0,0.049,2.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,599.0,0.311,88.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,637.0,0.234,72.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,289.0,0.382,99.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.303,69.0,74,3,4.05,4.46 (3.26-5.67),71,95.95,5.53 (4.95-6.11),1.71,3.72
oligodendrocytes 20,676.0,0.586,87.0,110,1,0.91,0.79 (NA-NA),109,99.09,5.05 (4.61-5.49),4.12,3.52
GABA like neurons 14,3052.0,0.096,15.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,279.0,0.27,46.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79),5.29,2.64
oligodendrocyte progenitor cells 12,254.0,0.24,38.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22),2.15,2.49
oligodendrocytes 10,204.0,0.239,16.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,82.0,0.216,17.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,418.0,0.208,60.0,54,16,29.63,3.18 (2.72-3.64),38,70.37,3.93 (3.33-4.53),3.52,2.80
oligodendrocytes 16,287.0,0.319,52.0,105,3,2.86,1.95 (0.80-3.10),102,97.14,5.21 (4.78-5.65),4.54,3.44
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.219,22.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63),NA,3.24
astrocytes 4,171.0,0.152,35.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,261.0,0.221,76.0,42,1,2.38,0.79 (NA-NA),41,97.62,4.17 (3.48-4.85),2.98,2.26
microglia 1,315.0,0.217,71.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77),NA,4.21
oligodendrocytes 3,99.0,0.18,26.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,347.0,0.151,26.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
