tipo_celular,module_size,CCDC112_MM,CCDC112_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.266,92.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69),NA,2.88
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.108,15.0,353,10,2.83,1.41 (0.41-2.40),343,97.17,3.96 (3.78-4.15),26.47,7.53
GABA neurons expressing GLU receptors 22,567.0,0.118,14.0,16,2,12.5,3.25 (0.69-5.82),14,87.5,1.76 (1.12-2.40),2.11,3.85
GLU like neurons 17,380.0,0.078,4.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,71.0,0.309,66.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.042,15.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.086,11.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67),4.98,8.70
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,7,2.54,2.04 (0.72-3.36),269,97.46,3.58 (3.36-3.80),5.30,5.11
oligodendrocytes 10,806.0,0.046,7.0,261,2,0.77,4.43 (4.17-4.69),259,99.23,4.36 (4.12-4.61),5.52,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,92.0,0.225,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,96.0,0.337,62.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,309.0,0.113,29.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615.0,0.113,55.0,161,6,3.73,0.71 (0.10-1.32),155,96.27,3.37 (3.11-3.64),15.65,5.04
oligodendrocytes 3,639.0,0.12,69.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53),3.72,1.84
oligodendrocytes 2,804.0,0.132,27.0,84,3,3.57,4.43 (4.17-4.69),81,96.43,2.63 (2.30-2.97),2.22,3.44
