tipo_celular,module_size,SLC6A6_MM,SLC6A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184.0,0.214,52.0,21,0,0.0,NA,21,100.0,2.30 (1.67-2.93),NA,2.00
T cells 18,727.0,0.12,31.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,823.0,0.314,97.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,637.0,0.19,61.0,91,2,2.2,1.39 (-0.93-3.72),89,97.8,4.63 (4.11-5.15),1.93,3.08
da like neurons 11,289.0,0.167,42.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.17,37.0,120,11,9.17,4.41 (3.06-5.75),109,90.83,4.63 (4.31-4.95),2.83,3.74
oligodendrocytes 20,358.0,0.269,86.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090.0,0.094,11.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.126,41.0,358,8,2.23,1.43 (0.63-2.23),350,97.77,3.94 (3.74-4.13),8.33,9.50
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,199.0,0.193,71.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,62.0,0.327,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,187.0,0.246,81.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,1615.0,0.114,56.0,161,2,1.24,0.50 (-0.07-1.07),159,98.76,3.32 (3.05-3.58),5.34,5.43
oligodendrocytes 3,854.0,0.196,99.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,131.0,0.222,70.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
