tipo_celular,module_size,SLC25A37_MM,SLC25A37_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.327,74.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84),NA,3.54
T cells 18,610.0,0.202,81.0,98,17,17.35,1.23 (0.83-1.63),81,82.65,3.57 (3.27-3.86),6.30,3.56
astrocytes 5,322.0,0.156,45.0,58,2,3.45,1.33 (0.43-2.22),56,96.55,4.29 (3.89-4.70),1.65,2.34
oligodendrocyte progenitor cells 7,4285.0,0.174,95.0,353,25,7.08,1.35 (1.06-1.65),328,92.92,4.15 (3.97-4.32),25.97,6.70
GABA neurons expressing GLU receptors 22,823.0,0.148,30.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,489.0,0.178,71.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,197.0,0.098,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.123,47.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,233.0,0.366,90.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2090.0,0.159,54.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34),2.12,10.61
astrocytes 8,577.0,0.069,37.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,3303.0,0.11,83.0,276,24,8.7,1.81 (1.52-2.11),252,91.3,3.76 (3.54-3.99),7.24,4.91
oligodendrocytes 10,2107.0,0.264,84.0,358,29,8.1,1.43 (1.12-1.74),329,91.9,4.16 (3.98-4.34),24.72,8.13
connective tissue cells 21,118.0,0.201,9.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1401.0,0.126,80.0,96,4,4.17,1.92 (1.80-2.05),92,95.83,3.70 (3.24-4.17),1.59,3.89
oligodendrocytes 16,90.0,0.178,29.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.287,71.0,47,3,6.38,1.71 (0.93-2.48),44,93.62,2.93 (2.60-3.27),2.21,3.14
astrocytes 4,721.0,0.157,60.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078.0,0.132,85.0,238,4,1.68,1.89 (0.74-3.03),234,98.32,3.67 (3.45-3.89),4.82,5.03
microglia 1,813.0,0.139,73.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53),6.31,7.92
oligodendrocytes 3,94.0,0.072,34.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,1630.0,0.148,64.0,154,3,1.95,2.22 (1.70-2.73),151,98.05,3.27 (3.00-3.54),3.20,3.60
