tipo_celular,module_size,SLC23A2_MM,SLC23A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.174,31.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,610,0.111,20.0,98,4,4.08,0.98 (0.27-1.68),94,95.92,3.22 (2.91-3.53),3.60,4.06
astrocytes 5,1141,0.105,18.0,166,4,2.41,0.63 (0.31-0.95),162,97.59,3.47 (3.23-3.72),2.57,4.60
oligodendrocyte progenitor cells 7,4285,0.107,14.0,353,6,1.7,1.08 (0.49-1.67),347,98.3,3.95 (3.77-4.14),22.40,7.82
GABA neurons expressing GLU receptors 22,487,0.007,0.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,1247,0.169,72.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.144,60.0,133,3,2.26,0.65 (0.21-1.10),130,97.74,3.33 (3.01-3.64),4.82,4.15
GABA neurons expressing GABA receptors 13,77,0.092,4.0,8,0,0.0,NA,8,100.0,3.16 (2.15-4.16),NA,1.77
endothelial cells 9,1653,0.079,13.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,322,0.102,39.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.261,75.0,306,12,3.92,2.28 (1.67-2.89),294,96.08,5.27 (5.01-5.52),3.46,6.84
astrocytes 8,1266,0.07,38.0,66,2,3.03,1.10 (-0.65-2.86),64,96.97,3.30 (2.89-3.72),3.63,2.93
oligodendrocyte progenitor cells 12,3303,0.131,94.0,276,7,2.54,1.48 (0.98-1.99),269,97.46,3.61 (3.39-3.83),13.06,4.90
oligodendrocytes 10,806,0.056,10.0,261,6,2.3,2.46 (1.68-3.25),255,97.7,4.43 (4.18-4.67),7.18,6.04
connective tissue cells 21,86,0.196,9.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95),NA,1.48
astrocytes 15,443,0.119,25.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55),NA,2.22
oligodendrocytes 16,199,0.117,8.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,307,0.199,92.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,253,0.273,62.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,721,0.144,35.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,1186,0.126,24.0,300,1,0.33,2.06 (NA-NA),299,99.67,3.80 (3.59-4.01),1.54,4.16
microglia 1,346,0.147,50.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,639,0.132,75.0,15,0,0.0,NA,15,100.0,3.31 (1.95-4.68),NA,2.22
oligodendrocytes 2,347,0.178,42.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
