tipo_celular,module_size,ATXN1_MM,ATXN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.088,8.0,140,7,5.0,3.92 (2.89-4.94),133,95.0,4.60 (4.30-4.89),5.44,3.44
T cells 18,388,0.237,83.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40),2.22,4.54
astrocytes 5,222,0.124,16.0,98,6,6.12,4.46 (2.54-6.38),92,93.88,4.61 (4.19-5.03),3.26,2.61
oligodendrocyte progenitor cells 7,229,0.047,1.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,459,0.093,16.0,165,14,8.48,3.53 (2.21-4.84),151,91.52,5.23 (4.89-5.57),3.64,4.13
GLU like neurons 17,637,0.161,52.0,91,15,16.48,1.99 (1.10-2.88),76,83.52,5.27 (4.81-5.73),3.04,3.06
da like neurons 11,97,0.518,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.275,81.0,93,11,11.83,3.68 (2.38-4.99),82,88.17,5.41 (4.90-5.93),4.03,3.94
endothelial cells 9,1653,0.223,95.0,297,3,1.01,4.92 (4.14-5.70),294,98.99,3.66 (3.45-3.86),3.70,5.54
oligodendrocytes 20,676,0.346,61.0,110,7,6.36,2.68 (1.39-3.98),103,93.64,5.22 (4.78-5.66),3.12,3.55
GABA like neurons 14,1300,0.197,46.0,306,26,8.5,3.00 (2.18-3.82),280,91.5,5.32 (5.06-5.58),7.08,6.67
astrocytes 8,262,0.215,82.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,411,0.174,56.0,103,3,2.91,4.83 (2.45-7.20),100,97.09,5.58 (5.18-5.97),3.25,3.08
oligodendrocytes 10,204,0.202,14.0,92,1,1.09,6.33 (NA-NA),91,98.91,5.69 (5.21-6.17),3.75,3.72
connective tissue cells 21,147,0.28,71.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,208,0.383,73.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,287,0.088,2.0,105,10,9.52,3.01 (1.87-4.16),95,90.48,5.42 (4.99-5.85),3.27,3.49
da neurons 6,398,0.317,88.0,138,17,12.32,2.90 (1.93-3.88),121,87.68,5.15 (4.79-5.51),2.57,2.76
astrocytes microglia 23,229,0.16,5.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70),3.30,3.23
astrocytes 4,220,0.102,11.0,63,11,17.46,4.51 (3.56-5.47),52,82.54,5.29 (4.63-5.95),3.88,3.17
oligodendrocytes 0,261,0.104,10.0,42,8,19.05,2.27 (0.82-3.73),34,80.95,4.66 (4.02-5.30),2.06,2.33
microglia 1,346,0.092,9.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,681,0.102,57.0,87,48,55.17,2.37 (2.06-2.69),39,44.83,2.90 (2.42-3.37),5.23,3.03
oligodendrocytes 2,407,0.157,54.0,122,55,45.08,2.20 (1.89-2.51),67,54.92,4.85 (4.33-5.37),3.20,2.29
