tipo_celular,module_size,SLC25A13_MM,SLC25A13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351.0,0.153,51.0,71,4,5.63,1.91 (0.41-3.42),67,94.37,2.67 (2.24-3.10),1.92,3.68
T cells 18,349.0,0.206,58.0,68,5,7.35,2.24 (2.00-2.48),63,92.65,4.60 (4.02-5.17),3.58,3.29
astrocytes 5,165.0,0.109,9.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229.0,0.224,65.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62),NA,5.36
GABA neurons expressing GLU receptors 22,567.0,0.274,77.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637.0,0.206,64.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51),3.48,3.02
da like neurons 11,109.0,0.291,74.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.316,70.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.534,82.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.178,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771.0,0.269,76.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,708.0,0.348,91.0,25,2,8.0,2.01 (-1.53-5.55),23,92.0,2.96 (1.92-3.99),1.76,2.60
oligodendrocytes 10,236.0,0.448,37.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,114.0,0.22,31.0,19,0,0.0,NA,19,100.0,4.90 (4.18-5.61),NA,2.12
astrocytes 15,458.0,0.131,67.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287.0,0.393,75.0,105,2,1.9,2.53 (2.34-2.73),103,98.1,5.15 (4.70-5.60),5.66,3.43
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,190.0,0.285,63.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92),NA,1.81
astrocytes 4,752.0,0.141,31.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,261.0,0.229,80.0,42,0,0.0,NA,42,100.0,4.06 (3.37-4.75),NA,2.27
microglia 1,346.0,0.118,27.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,127.0,0.212,31.0,45,2,4.44,2.53 (2.34-2.73),43,95.56,4.46 (3.57-5.36),1.56,6.12
oligodendrocytes 2,237.0,0.246,63.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
