tipo_celular,module_size,SLC25A27_MM,SLC25A27_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.139,62.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68),8.21,4.50
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,11,3.12,1.02 (0.59-1.45),342,96.88,4.01 (3.83-4.19),37.57,7.11
GABA neurons expressing GLU receptors 22,823.0,0.208,70.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,1316.0,0.129,56.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,89.0,0.098,18.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.13,53.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,330.0,0.303,87.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,3052.0,0.215,96.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,262.0,0.14,52.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,218.0,0.233,46.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,806.0,0.083,19.0,261,9,3.45,2.38 (1.66-3.10),252,96.55,4.46 (4.22-4.70),6.54,6.05
connective tissue cells 21,77.0,0.284,48.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1768.0,0.095,58.0,105,4,3.81,1.51 (0.88-2.15),101,96.19,3.29 (2.94-3.63),3.82,3.98
oligodendrocytes 16,151.0,0.116,5.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,553.0,0.074,7.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64),2.89,3.03
astrocytes microglia 23,127.0,0.274,26.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,721.0,0.166,77.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,613.0,0.171,74.0,127,1,0.79,NA,126,99.21,3.05 (2.64-3.46),2.12,6.31
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.133,79.0,87,5,5.75,1.81 (-0.07-3.70),82,94.25,2.63 (2.37-2.90),4.99,4.20
oligodendrocytes 2,921.0,0.157,81.0,200,1,0.5,1.74 (NA-NA),199,99.5,3.63 (3.37-3.90),2.36,3.47
